,Date,TSLA,SHEL,JNJ,XOM,MSFT,GOOG,JPM,TM,AZN
2155,2022-11-17,183.1699981689453,53.90406799316406,167.35110473632812,108.32064056396484,239.1136932373047,98.5,127.17296600341795,142.92999267578125,61.78229141235352
2156,2022-11-18,180.19000244140625,53.19092559814453,168.63356018066406,107.38172149658205,238.65858459472656,97.8000030517578,128.42031860351562,143.19000244140625,62.756385803222656
2157,2022-11-21,167.8699951171875,52.00235748291016,169.50048828125,106.31825256347656,239.47979736328125,95.83000183105467,127.66231536865234,142.16000366210938,63.10358428955078
2158,2022-11-22,169.91000366210938,54.02768325805664,170.31922912597656,109.39368438720705,242.4281311035156,97.33000183105467,129.5717315673828,145.3300018310547,63.65331268310547
2159,2022-11-23,183.1999969482422,54.03718948364258,170.50222778320312,108.84758758544922,244.9510498046875,98.81999969482422,130.95343017578125,146.7100067138672,63.76905059814453
2160,2022-11-25,182.8600006103516,54.02768325805664,170.72377014160156,108.46435546875,244.86199951171875,97.5999984741211,131.20291137695312,148.27000427246094,63.8172721862793
2161,2022-11-28,182.9199981689453,53.71390151977539,170.8104705810547,105.20687103271484,239.19284057617188,96.25,128.90968322753906,146.50999450683594,63.85585021972656
2162,2022-11-29,180.8300018310547,54.788368225097656,169.61605834960938,105.9062728881836,237.77806091308597,95.44000244140624,131.03018188476562,145.39999389648438,63.73047256469727
2163,2022-11-30,194.6999969482422,55.59659576416016,171.45584106445312,106.67274475097656,252.43077087402344,101.4499969482422,132.58456420898438,147.69000244140625,65.55327606201172
2164,2022-12-01,194.6999969482422,55.19723510742188,172.16864013671875,106.15538024902344,251.9855499267578,101.27999877929688,130.72314453125,147.66000366210938,65.91011810302734
2165,2022-12-02,194.8600006103516,54.88345718383789,172.30349731445312,105.25477600097656,252.3120574951172,100.83000183105467,129.68690490722656,146.52999877929688,66.03549194335938
2166,2022-12-05,182.4499969482422,54.57917785644531,172.20716857910156,102.37095642089844,247.5432281494141,99.87000274658205,126.05035400390624,143.19000244140625,65.98726654052734
2167,2022-12-06,179.82000732421875,53.89456558227539,169.62570190429688,99.52545928955078,242.5171661376953,97.30999755859376,126.26142120361328,141.08999633789062,66.1222915649414
2168,2022-12-07,174.0399932861328,53.58077621459961,170.65635681152344,99.30510711669922,241.77511596679688,95.1500015258789,126.17508697509766,141.86000061035156,66.4019775390625
2169,2022-12-08,173.44000244140625,53.80898284912109,170.6852569580078,100.0428237915039,244.77294921875,93.9499969482422,127.49919891357422,142.27999877929688,66.71060180664062
