Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ON,ON Semiconductor Corporation Common Stock,$68.68,-0.6,-0.866%,29580310275.0,United States,,4041563,Technology,Semiconductors
MLM,Martin Marietta Materials Inc. Common Stock,$465.62,3.62,0.784%,28778650305.0,United States,1994.0,336709,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CQP,Cheniere Energy Partners LP Common Units,$58.25,-0.63,-1.07%,28195278915.0,United States,2007.0,102646,Utilities,Oil/Gas Transmission
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$123.42,-0.3,-0.242%,26673256037.0,Mexico,,281287,Consumer Staples,Beverages (Production/Distribution)
TTWO,Take-Two Interactive Software Inc. Common Stock,$156.27,-0.05,-0.032%,26576466977.0,United States,1997.0,1008479,Technology,Computer Software: Prepackaged Software
TU,Telus Corporation Ordinary Shares,$17.70,-0.04,-0.225%,25753500000.0,Canada,,1227042,Telecommunications,Telecommunications Equipment
WIT,Wipro Limited Common Stock,$4.69,-0.01,-0.213%,25738334205.0,India,,1182905,Technology,EDP Services
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$245.04,0.76,0.311%,25302930131.0,United Kingdom,2001.0,473679,Finance,Specialty Insurers
XYL,Xylem Inc. Common Stock New,$103.18,-0.08,-0.077%,24874405340.0,United States,2011.0,1058834,Industrials,Fluid Controls
TLK,PT Telekomunikasi Indonesia Tbk,$23.93,0.5,2.134%,23705588432.0,Indonesia,,360813,Telecommunications,Telecommunications Equipment
GRMN,Garmin Ltd. Common Stock (Switzerland),$121.47,0.44,0.364%,23240985923.0,Switzerland,2000.0,659735,Industrials,Industrial Machinery/Components
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),$5.19,-0.04,-0.765%,23170755000.0,United Kingdom,2022.0,1324081,Finance,Commercial Banks
RMD,ResMed Inc. Common Stock,$152.57,-1.31,-0.851%,22441812709.0,United States,,541334,Health Care,Medical/Dental Instruments
VRSN,VeriSign Inc. Common Stock,$213.96,0.73,0.342%,21845316000.0,United States,1998.0,427883,Technology,EDP Services
WPM,Wheaton Precious Metals Corp Common Shares (Canada),$47.63,0.17,0.358%,21576206196.0,Canada,,1399844,,
STT,State Street Corporation Common Stock,$69.74,-0.64,-0.909%,21520614057.0,United States,,1957616,Finance,Major Banks
ETR,Entergy Corporation Common Stock,$101.63,0.53,0.524%,21492008511.0,United States,,1211707,Utilities,Electric Utilities: Central
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,$116.73,-0.33,-0.282%,20913248747.0,United States,,668726,Industrials,Railroads
ES,Eversource Energy (D/B/A) Common Stock,$59.04,-0.22,-0.371%,20624219379.0,United States,,2353137,Utilities,Electric Utilities: Central
AEE,Ameren Corporation Common Stock,$77.46,0.29,0.376%,20367723418.0,United States,,1731374,Utilities,Power Generation
CTRA,Coterra Energy Inc. Common Stock,$26.27,-0.5,-1.868%,19760075696.0,United States,,4951459,Energy,Oil & Gas Production
